masked,cluster
/image/<NUM>/brand,-1
/blog/sports/sport-fields/table-sports/table-football/,-1
/static/images/amp/telegram.png,-1
/static/bundle-bundle_site_head.css,-1
/amp-helper-frame.html?appId=a<NUM>a<NUM>c<NUM>-<NUM>c<NUM>-<NUM>a-a<NUM>-e<NUM>f<NUM>e<NUM>&parentOrigin=https://www.zanbil.ir,-1
/site/alexaGooleAnalitic,-1
/static/js/accordion.js?_=<NUM>,-1
/favicon.ico,-1
/blog/home-appliances/food-preparation/grinder/,-1
/,-1
/browse/blu-ray,-1
/static/css/font_awesome/fonts/fontawesome-webfont.woff<NUM>?v=<NUM>.<NUM>.<NUM>,-1
/image/<NUM>?name=s<NUM>-alternatedefaultimage-<NUM>-<NUM>fe<NUM>eb-<NUM>c<NUM>-<NUM>f<NUM>c-afde-bc<NUM>add<NUM>ac<NUM>.jpg&wh=<NUM>x<NUM>,-1
/static/images/amp/blog.png,-1
/site/ping,-1
/image/<NUM>/mainSlideMobile,-1
/m/updateVariation?__amp_source_origin=https://www.zanbil.ir,-1
/m/search,-1
/product/<NUM>?model=<NUM>,-1
/site/enamad,-1
/amp-helper-frame.html?appId=a<NUM>a<NUM>c<NUM>-<NUM>c<NUM>-<NUM>a-a<NUM>-e<NUM>f<NUM>e<NUM>&parentOrigin=https://www-zanbil-ir.cdn.ampproject.org,-1
/image/<NUM>/specialSale?role=e<NUM>,-1
/static/bundle-bundle_site_defer.min.js,-1
/settings/logo,-1
/login/auth,-1
/m/prepareSearch?phrase=,-1
/manifest.json,-1
/static/css/font/wyekan/font.woff,-1
/discountLabel/get/<NUM>?type=mobileSmallIcon,-1
/amp_preconnect_polyfill_<NUM>_or_other_error_expected._Do_not_worry_about_it?<NUM>,-1
/static/images/search-category-arrow.png,-1
/robots.txt,-1
/product/<NUM>/<NUM>/مخلوط-کن-و-آسیاب-پاناسونیک-مدل-MX-GX<NUM>-W,0
/m/browse/food-preparation/آماده-سازی-غذا,0
/m/product/<NUM>/<NUM>/گوشی-موبایل-سامسونگ-مدل-Galaxy-A<NUM>-(<NUM>)-Dual-<NUM>GB-(SM-A<NUM>),0
/m/product/<NUM>/<NUM>/کتری-برقی-گاستروبک-مدل-<NUM>,0
/product/<NUM>/<NUM>/سشوار-خانگی-پرنسلی-مدل-PR<NUM>AT,0
/product/<NUM>/<NUM>/توستر-میدیا-مدل-MG<NUM>CHB,0
/blog/tag/گجت/,0
/product/<NUM>/<NUM>/فشارسنج-بازویی-ایزی-لایف-مدل-HS-<NUM>,0
/product/<NUM>/<NUM>/مایکروفر-رومیزی-ال-جی-مدل-MG<NUM>S,0
/product/<NUM>/<NUM>/سر-شور-آریا-صنعت-مدل-SN-<NUM>,0
/product/<NUM>/<NUM>/اتو-بخار-بایترون-مدل-BPV-E<NUM>,0
/product/<NUM>/<NUM>/چای-ساز-قوری-روی-کتری-فیلیپس-مدل-HD<NUM>,0
/product/<NUM>/<NUM>/گردنبند-زنانه-الیور-وبر-مدل-شبدر-خوش-شانس-چهارپر-Lucky-rhod-crystal,0
/blog/tag/ادویه/feed/,0
/product/<NUM>/<NUM>/مایکروفر-رومیزی-سامسونگ-مدل-ME<NUM>,0
/m/product/<NUM>/<NUM>/گوشی-موبایل-اپل-مدل-iPhone-<NUM>-<NUM>GB,0
"/filter/p<NUM>,v<NUM>|سیلور.,v<NUM>|سفید.?o=v<NUM>",0
/product/<NUM>/<NUM>/تلویزیون-ال-ای-دی-ایکس-ویژن-مدل-<NUM>XS<NUM>,0
/m/product/<NUM>/<NUM>/آب-پرتقال-گیری-تفال-مدل-<NUM>,0
/product/<NUM>/<NUM>/مایکروفر-رومیزی-سامسونگ-مدل-CE<NUM>,0
/product/<NUM>/<NUM>/مهره-دستبند-الیور-وبر-مدل-استیل-مدل-شاین-هفت-رنگ-Shine-thin-Steel-crystal-AB,0
/product/<NUM>/<NUM>/مهره-دستبند-الیور-وبر-مدل-استیل-طرح-قاب-کریستال-Bagsuette-Steel-crystal,0
/product/<NUM>/<NUM>/تلویزیون-ال-ای-دی-ایکس-ویژن-مدل-LE-<NUM>D<NUM>,0
/product/<NUM>/<NUM>/گردنبند-زنانه-الیور-وبر-مدل-کریستال-طرح-برازنده-Graceful-rhod-crystal,0
/product/<NUM>/<NUM>/گوشواره-زنانه-الیور-وبر-مدل-کریستال-طرح-دومینو-Domino-rhod-Crystal,0
/blog/tag/عطر/,0
/article/<NUM>/علت-و-درمان-گردن-درد-(همراه-سردرد-و-سرگیجه),0
/product/<NUM>/<NUM>/همزن-بلک-اند-دکر-مدل-M<NUM>,0
/product/<NUM>/<NUM>/یخچال-فریزر-سینجر-مدل-pearl-SR<NUM>,0
/product/<NUM>/<NUM>/پیانو-آکوستیک-دیواری-YAMAHA-مدل-JU<NUM>,0
/m/product/<NUM>/<NUM>/گوشی-موبایل-اپل-مدل-iPhone-XS-<NUM>GB,0
/product/<NUM>/<NUM>/گردنبند-زنانه-الیور-وبر-مدل-کریستال-طرح-فرشته-مقدس-<NUM>AG-rhod-crystal,0
/m/browse/mixer/همزن,0
/product/<NUM>/<NUM>/ساعت-عقربه-ای-دیجیتال-اسپرت-CASIO-مدل-GA-<NUM>RG-<NUM>ADR,0
/product/<NUM>/<NUM>/عطر-و-ادکلن-مردانه-هوگو-باس-مدل-Boss-Bottled-Night,0
/product/<NUM>/<NUM>/ساعت-مچی-عقربه-ای-مردانه-کاترپیلار-مدل-LB.<NUM>.<NUM>.<NUM>,0
/blog/tag/خواب/,0
/product/<NUM>/<NUM>/تب-سنج-Omron-مدل-GentleTemp-<NUM>,0
/product/<NUM>/<NUM>/مهره-دستبند-الیور-وبر-مدل-استیل-طرح-قاب-مونتانا-Bagsuette-Steel-montana,0
/m/product/<NUM>/<NUM>/ماشین-اصلاح-صورت-پرنسلی-مدل-PR<NUM>AT,0
/product/<NUM>/<NUM>/اتو-مو-بابیلیس-مدل-ST<NUM>E,0
/product/<NUM>/<NUM>/عطر-و-ادکلن-زنانه-دیور-مدل-Poison-Girl,0
/product/<NUM>/<NUM>/ساعت-مچی-عقربه-ای-زنانه-گس-مدل-W<NUM>L<NUM>,0
/product/<NUM>/<NUM>/میز-عسلی-Persis-مدل-TS<NUM>,0
/m/browse/citrus-only-juicer/آب-پرتقال-گیری,0
/product/<NUM>/<NUM>/اتو-مو-بابیلیس-مدل-I-pro-<NUM>-XL-ST<NUM>E,0
/product/<NUM>/<NUM>/ساعت-مچی-عقربه-ای-مردانه-CASIO-مدل-EFV-<NUM>BL-<NUM>AVUDF,0
/product/<NUM>/<NUM>/صندلی-ماساژور-rain-sport-مدل-RK-<NUM>b,0
/product/<NUM>/<NUM>/عطر-و-ادکلن-مشترک-Marc-Joseph-مدل-Vetiver-Story,0
/m/browse/refrigerator-and-freezer/یخچال-فریزر,0
/product/<NUM>/<NUM>/دستبند-زنانه-الیور-وبر-مدل-توپاز-طرح-ببر-طلایی-Tiger-gold-lt-col-topaz,0
/product/<NUM>/<NUM>/اپیلاتور-براون-مدل-<NUM>,0
/product/<NUM>/<NUM>/دستبند-زنانه-الیور-وبر-مدل-کریستال-طلایی-طرح-مقام-Rank-rhod-crystal,0
/m/browse/fryer/سرخ-کن,0
/product/<NUM>/<NUM>/گردنبند-زنانه-الیور-وبر-مدل-کریستال-طرح-حلقه-ها-Double-Round-crystal,0
/m/browse/meat-grinder/چرخ-گوشت,0
/product/<NUM>/<NUM>/مهره-دستبند-الیور-وبر-مدل-استیل-طرح-اسپایک-متالیک-Spike-Steel-metallic,0
/product/<NUM>/<NUM>/ساعت-عقربه-ای-دیجیتال-مردانه-CASIO-مدل-GA-<NUM>-<NUM>BDR,0
/m/article/<NUM>/علت-و-درمان-گردن-درد-(همراه-سردرد-و-سرگیجه),0
/m/browse/cell-phone/گوشی-موبایل,0
/m/product/<NUM>/<NUM>/آب-پرتقال-گیری-گاستروبک-مدل-<NUM>,0
/product/<NUM>/<NUM>/سینک-ظرفشویی-توکار-لتو-مدل-TX-<NUM>,0
/static/images/guarantees/bestPrice.png,1
/static/images/guarantees/warranty.png,1
/static/images/guarantees/support.png,1
/static/images/guarantees/goodShopping.png,1
/static/images/guarantees/fastDelivery.png,1
/static/images/third-party/footer.png,2
/image/<NUM>/specialSale,2
/static/images/amp/third-party/footer-mobile.png,2
/static/images/favicon.ico,2
/image/<NUM>/mainSlide,2
/static/images/amp/instagram.png,2
/image/<NUM>/productModel/<NUM>x<NUM>,3
/image/<NUM>/productType/<NUM>x<NUM>,3
/image/<NUM>?name=samsung-galaxy-s<NUM>-plus-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=black...jpg&wh=max,3
/image/<NUM>?name=elite-new-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=-jetblack.....jpg&wh=max,3
/image/<NUM>?name=eb-x<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=iphonexs_silver.jpg&wh=max,3
/image/<NUM>?name=silver-select....-.jpg&wh=max,3
/image/<NUM>?name=samsung-galaxy-s<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=<NUM>red.jpg&wh=max,3
/image/<NUM>/article/<NUM>x<NUM>,3
/image/<NUM>?name=z.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=ms<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=-gold-select...-.jpg&wh=max,3
/image/<NUM>?name=m<NUM>a-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=mfp-m<NUM>a-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=janome-<NUM>-w.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=sxp<NUM>_<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=r<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=des-<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=<NUM>thumb.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=janome-<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=rs<NUM>w.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=<NUM>f<NUM>fhn-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=<NUM>redd.jpg&wh=max,3
/image/get?path=/Image/x<NUM>l<NUM>ghv<NUM>.jpg,3
/image/<NUM>/productTypeType,3
/image/<NUM>?name=<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=<NUM>.jpg&wh=max,3
/image/<NUM>?name=pr<NUM>at.jpg&wh=max,3
/image/<NUM>?name=<NUM>-<NUM>-fw.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=mdn<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/{{basketItem.id}}?type=productModel&wh=<NUM>x<NUM>,3
/image/<NUM>?name=iphone-xs-<NUM>.jpg&wh=max,3
/image/<NUM>?name=pr<NUM>at<NUM>.jpg&wh=max,3
/image/<NUM>?name=tm-<NUM>sp-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=<NUM>plus-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=kachiran-roz<NUM>+.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=model-b<NUM>u-<NUM>-.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=gastroback-<NUM>.jpg&wh=max,3
/image/<NUM>?name=photo_<NUM>-<NUM>-<NUM>_<NUM>-<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,3
/image/<NUM>?name=code+<NUM>.jpg&wh=<NUM>x<NUM>,3
/filter?f=p<NUM>&page=<NUM>,4
"/filter/stexists,p<NUM>,b<NUM>,b<NUM>,b<NUM>,b<NUM>",4
"/filter/stexists,p<NUM>,b<NUM>?page=<NUM>",4
"/filter?f=p<NUM>,b<NUM>&o=b&page=<NUM>",4
"/m/filter/p<NUM>,b<NUM>",4
"/m/filter/b<NUM>,p<NUM>,stexists,t<NUM>",4
"/filter/b<NUM>,p<NUM>",4
"/m/filter/p<NUM>,b<NUM>,b<NUM>",4
"/m/filter/b<NUM>,p<NUM>,stexists",4
"/m/filter/b<NUM>,p<NUM>?page=<NUM>",4
/m/filter/b<NUM>?page=<NUM>,4
"/m/filter?f=p<NUM>,b<NUM>",4
/m/filter/p<NUM>?page=<NUM>,4
"/filter/stexists,p<NUM>",4
"/ajaxFilter/p<NUM>,b<NUM>?page=<NUM>",4
"/filter/stexists,p<NUM>,b<NUM>",4
"/filter/stexists,p<NUM>?page=<NUM>",4
"/filter/stexists,p<NUM>,b<NUM>,b<NUM>,b<NUM>,b<NUM>?page=<NUM>",4
"/m/filter/p<NUM>,b<NUM>?page=<NUM>",4
